,organism,protein ,Protein Type,uniprot,Alt. Names,gene ,CST_ID
0,mouse,Tyrosine-protein kinase ABL2,"Abl family; EC 2.7.10.2; Kinase, protein; Oncoprotein; Protein kinase, TK; Protein kinase, tyrosine (non-receptor); TK group",Q4JIM5,"AA536808; abelson murine leukemia viral oncogene homolog 2; Abelson tyrosine-protein kinase 2; Abelson-related gene protein; Abl2; Abll; ARG; MGC169395; tyrosine kinase ARG; Tyrosine-protein kinase ABL2; Tyrosine-protein kinase ARG; v-abl Abelson murine leukemia viral oncogene 2 (arg, Abelson-related gene); v-abl Abelson murine leukemia viral oncogene homolog 2 (arg, Abelson-related gene)",Abl2,1407
1,human,Acetyl-CoA carboxylase 1,Carbohydrate Metabolism - propanoate; Carbohydrate Metabolism - pyruvate; EC 6.3.4.14; EC 6.4.1.2; Ligase; Lipid Metabolism - fatty acid biosynthesis,Q13085,ACAC; ACACA; ACACAD; ACC; ACC-alpha; ACC1; ACCA; Acetyl-CoA carboxylase 1; acetyl-CoA carboxylase alpha; acetyl-CoA carboxylase-alpha; acetyl-Coenzyme A carboxylase alpha; Biotin carboxylase,ACACA,1109
2,human,Beta-2 adrenergic receptor,"GPCR, family 1; Membrane protein, integral; Membrane protein, multi-pass; Receptor, GPCR",P07550,"ADRB2; ADRB2R; ADRBR; adrenergic, beta-2-, receptor, surface; adrenoceptor beta 2; adrenoceptor beta 2 surface; B2AR; BAR; Beta-2 adrenergic receptor; Beta-2 adrenoceptor; Beta-2 adrenoreceptor; beta-2-Adrenergic Receptor; BETA2AR; catecholamine receptor",ADRB2,1229
3,mouse,Annexin A1,Calcium-binding; Lipid-binding,P10107,Annexin A1; Annexin I; Annexin-1; Anx; Anx-1; Anx-A1; Anx1; Anxa1; C430014K04Rik; Calpactin II; Calpactin-2; Chromobindin-9; lipocortin 1; Lipocortin I; Lpc; Lpc-1; Lpc1; p35; Phospholipase A2 inhibitory protein,Anxa1,1403
4,human,C->U-editing enzyme APOBEC-1,Cell cycle regulation; EC 3.5.4.-; Hydrolase; RNA processing; RNA-binding,P41238,"ABEC1; APOBEC-1; APOBEC1; apolipoprotein B mRNA editing enzyme catalytic subunit 1; apolipoprotein B mRNA editing enzyme complex-1; apolipoprotein B mRNA editing enzyme, catalytic polypeptide 1; Apolipoprotein B mRNA-editing enzyme 1; BEDP; C->U-editing enzyme APOBEC-1; CDAR1; HEPR; mRNA(cytosine(6666)) deaminase 1",APOBEC1,1328
5,mouse,C->U-editing enzyme APOBEC-1,Cell cycle regulation; EC 3.5.4.-; Hydrolase; RNA processing; RNA-binding,P51908,"ABEC1; Apobec1; apolipoprotein B editing complex 1; apolipoprotein B mRNA editing enzyme, catalytic polypeptide 1; Apolipoprotein B mRNA-editing enzyme 1; C->U-editing enzyme APOBEC-1; Cdar1; mRNA(cytosine(6666)) deaminase 1; OTTMUSP00000029041; OTTMUSP00000029042",Apobec1,1404
6,mouse,Cyclic AMP-dependent transcription factor ATF-4,DNA-binding; Transcription factor,Q06507,Activating transcription factor 4; Atf-; Atf-4; Atf4; C/AT; C/ATF; C/EBP-related ATF; cAMP-dependent transcription factor ATF-4; cAMP-responsive element-binding protein 2; CREB; CREB-2; CREB2; Cyclic AMP-dependent transcription factor ATF-4; Cyclic AMP-responsive element-binding protein 2; MGC96460; Tax-responsive enhancer element-binding protein 67 homolog; TAXREB; TAXREB67; TaxREB67 homolog,Atf4,1412
7,human,Bcl2-associated agonist of cell death,Apoptosis,Q92934,BAD; BBC2; BBC6; Bcl-2-binding component 6; Bcl-2-like protein 8; BCL-X/BCL-2 binding protein; Bcl-XL/Bcl-2-associated death promoter; Bcl2 antagonist of cell death; BCL2 associated agonist of cell death; BCL2-antagonist of cell death protein; Bcl2-associated agonist of cell death; BCL2-binding component 6; BCL2-binding protein; Bcl2-L-8; BCL2L8,BAD,1156
8,human,Breast cancer anti-estrogen resistance protein 1,Adaptor/scaffold; Motility/polarity/chemotaxis,P56945,"BCAR1; BCAR1 scaffold protein, Cas family member; BCAR1, Cas family scaffold protein; BCAR1, Cas family scaffolding protein; breast cancer anti-estrogen resistance 1; Breast cancer anti-estrogen resistance protein 1; CAS; Cas scaffolding protein family member 1; CAS1; CASS1; CRK-associated substrate; Crk-associated substrate p130Cas; CRKAS; FLJ12176; FLJ45059; p130cas",BCAR1,1118
9,human,Baculoviral IAP repeat-containing protein 5,Apoptosis,O15392,API4; Apoptosis inhibitor 4; Apoptosis inhibitor survivin; baculoviral IAP repeat containing 5; baculoviral IAP repeat-containing 5; Baculoviral IAP repeat-containing protein 5; BIRC5; EPR-1; IAP4; Survivin; survivin variant 3 alpha,BIRC5,1056
10,human,Tyrosine-protein kinase Blk,"EC 2.7.10.2; Kinase, protein; Protein kinase, TK; Protein kinase, tyrosine (non-receptor); Src family; SrcB subfamily; TK group",P51451,"B lymphocyte kinase; B lymphoid tyrosine kinase; BLK; BLK nonreceptor tyrosine kinase; BLK proto-oncogene, Src family tyrosine kinase; MGC10442; MODY11; p55-Blk; Tyrosine-protein kinase Blk",BLK,1248
11,human,B-cell linker protein,Adaptor/scaffold,Q8WV28,AGM4; B cell adaptor containing SH2 domain; B cell linker; B cell linker protein; B-cell activation; B-cell adapter containing a SH2 domain protein; B-cell adapter containing a Src homology 2 domain protein; B-cell linker; B-cell linker protein; BASH; bca; BLNK; BLNK-S; Cytoplasmic adapter protein; LY57; MGC111051; SLP-65; SLP65; Src homology 2 domain-containing leukocyte protein of 65 kDa; Src homology [SH2] domain-containing leukocyte protein of 65 kD,BLNK,1117
12,human,G1/S-specific cyclin-D1,Activator; Cell cycle regulation; Nuclear receptor co-regulator; Oncoprotein,P24385,B-cell CLL/lymphoma 1; B-cell lymphoma 1 protein; BCL-1; BCL-1 oncogene; BCL1; CCND1; CycD1; cyclin D1; D11S287E; G1/S-specific cyclin D1; G1/S-specific cyclin-D1; PRAD1; PRAD1 oncogene; U21B31,CCND1,1166
13,mouse,G1/S-specific cyclin-D1,Activator; Cell cycle regulation; Nuclear receptor co-regulator; Oncoprotein,P25322,AI327039; bcl-; bcl-1; Ccnd1; cD1; CycD1; cyclin D1; Cyl-; Cyl-1; G1/S-specific cyclin-D1; OTTMUSP00000031858; PRAD1,Ccnd1,1516
